iter	Passed	Remaining
0	63	63044
1	67	33804
2	72	24086
3	76	19153
4	81	16139
5	85	14172
6	89	12744
7	94	11657
8	98	10817
9	102	10154
10	107	9640
11	111	9181
12	115	8784
13	120	8496
14	124	8197
15	128	7929
16	133	7695
17	137	7493
18	141	7308
19	145	7135
20	149	6984
21	154	6849
22	158	6733
23	162	6616
24	166	6508
25	171	6407
26	175	6311
27	179	6222
28	183	6137
29	187	6063
30	191	5992
31	196	5931
32	200	5861
33	204	5811
34	209	5772
35	213	5718
36	218	5677
37	222	5627
38	226	5582
39	230	5539
40	234	5495
41	239	5455
42	243	5416
43	247	5383
44	252	5353
45	256	5316
46	260	5284
47	265	5256
48	269	5225
49	273	5194
50	278	5177
51	282	5151
52	286	5127
53	291	5101
54	295	5075
55	299	5052
56	303	5024
57	308	5004
58	312	4984
59	316	4965
60	321	4946
61	325	4925
62	329	4902
63	334	4887
64	338	4865
65	342	4847
66	346	4828
67	350	4809
68	354	4788
69	359	4770
70	363	4753
71	367	4735
72	371	4719
73	375	4703
74	380	4687
75	384	4672
76	388	4657
77	392	4645
78	397	4630
79	401	4614
80	405	4604
81	410	4593
82	414	4576
83	418	4561
84	422	4547
85	426	4534
86	431	4525
87	435	4515
88	439	4502
89	443	4488
90	448	4478
91	452	4464
92	456	4454
93	461	4443
94	465	4431
95	469	4420
96	473	4408
97	477	4399
98	482	4390
99	486	4379
100	490	4366
101	494	4355
102	498	4343
103	502	4332
104	507	4323
105	511	4312
106	516	4310
107	520	4301
108	524	4290
109	529	4282
110	533	4271
111	537	4260
112	541	4250
113	545	4239
114	549	4228
115	553	4219
116	557	4209
117	562	4201
118	566	4191
119	570	4182
120	574	4175
121	579	4167
122	583	4159
123	587	4152
124	592	4146
125	596	4139
126	601	4131
127	605	4124
128	609	4117
129	613	4109
130	618	4100
131	622	4093
132	626	4083
133	630	4076
134	635	4070
135	639	4062
136	643	4055
137	648	4048
138	652	4042
139	656	4034
140	661	4027
141	665	4021
142	669	4013
143	673	4006
144	677	3997
145	681	3988
146	685	3980
147	690	3972
148	694	3969
149	699	3962
150	703	3954
151	707	3949
152	712	3941
153	716	3936
154	720	3929
155	724	3921
156	729	3914
157	733	3907
158	737	3901
159	742	3895
160	746	3889
161	750	3881
162	754	3875
163	759	3872
164	763	3865
165	767	3858
166	772	3852
167	776	3847
168	780	3840
169	785	3832
170	789	3827
171	793	3821
172	798	3815
173	802	3809
174	807	3804
175	811	3797
176	815	3790
177	819	3785
178	824	3780
179	828	3776
180	833	3771
181	837	3765
182	841	3758
183	846	3751
184	850	3746
185	854	3738
186	858	3733
187	862	3726
188	866	3720
189	871	3714
190	875	3710
191	880	3704
192	884	3697
193	888	3691
194	892	3685
195	897	3679
196	901	3674
197	905	3669
198	910	3663
199	914	3657
200	918	3651
201	922	3645
202	926	3639
203	931	3633
204	935	3627
205	939	3620
206	943	3615
207	948	3610
208	952	3603
209	956	3597
210	960	3591
211	964	3585
212	968	3579
213	973	3573
214	977	3567
215	981	3561
216	985	3555
217	989	3551
218	994	3546
219	998	3540
220	1002	3534
221	1007	3530
222	1012	3526
223	1016	3519
224	1020	3513
225	1024	3508
226	1029	3504
227	1032	3497
228	1037	3492
229	1041	3487
230	1045	3481
231	1049	3475
232	1054	3470
233	1058	3464
234	1062	3458
235	1066	3453
236	1070	3447
237	1075	3442
238	1079	3436
239	1083	3432
240	1088	3426
241	1092	3421
242	1096	3415
243	1100	3409
244	1104	3404
245	1109	3399
246	1113	3393
247	1117	3388
248	1121	3382
249	1125	3376
250	1129	3371
251	1134	3366
252	1138	3360
253	1142	3355
254	1146	3350
255	1151	3346
256	1155	3340
257	1159	3335
258	1164	3330
259	1168	3324
260	1172	3319
261	1176	3314
262	1180	3308
263	1184	3303
264	1189	3298
265	1193	3293
266	1197	3288
267	1202	3283
268	1206	3277
269	1210	3272
270	1214	3267
271	1219	3262
272	1223	3258
273	1228	3253
274	1232	3248
275	1236	3242
276	1240	3237
277	1244	3232
278	1249	3228
279	1253	3222
280	1257	3217
281	1261	3211
282	1265	3206
283	1269	3201
284	1273	3196
285	1278	3190
286	1282	3186
287	1286	3180
288	1291	3176
289	1295	3171
290	1299	3166
291	1304	3162
292	1308	3156
293	1312	3151
294	1316	3146
295	1320	3141
296	1325	3136
297	1329	3132
298	1334	3128
299	1338	3122
300	1342	3118
301	1346	3112
302	1351	3108
303	1355	3103
304	1359	3097
305	1363	3092
306	1367	3087
307	1371	3081
308	1376	3077
309	1379	3071
310	1384	3066
311	1388	3061
312	1392	3056
313	1396	3051
314	1401	3047
315	1405	3042
316	1410	3038
317	1414	3034
318	1419	3029
319	1423	3024
320	1427	3019
321	1431	3014
322	1436	3009
323	1440	3004
324	1444	2999
325	1448	2995
326	1453	2990
327	1457	2985
328	1461	2980
329	1465	2976
330	1470	2971
331	1474	2966
332	1478	2961
333	1483	2957
334	1487	2951
335	1491	2947
336	1495	2942
337	1499	2937
338	1503	2932
339	1508	2927
340	1512	2923
341	1516	2918
342	1520	2913
343	1524	2908
344	1529	2903
345	1533	2899
346	1538	2894
347	1542	2889
348	1546	2884
349	1550	2879
350	1555	2875
351	1559	2870
352	1563	2865
353	1567	2860
354	1571	2855
355	1576	2851
356	1580	2847
357	1584	2841
358	1588	2837
359	1593	2832
360	1597	2827
361	1601	2822
362	1605	2817
363	1609	2813
364	1614	2808
365	1619	2805
366	1623	2800
367	1628	2796
368	1632	2791
369	1636	2787
370	1641	2782
371	1645	2777
372	1650	2774
373	1654	2769
374	1658	2764
375	1662	2759
376	1667	2755
377	1671	2751
378	1676	2746
379	1680	2742
380	1685	2737
381	1689	2733
382	1693	2728
383	1697	2723
384	1702	2719
385	1706	2714
386	1711	2711
387	1716	2707
388	1720	2702
389	1725	2698
390	1729	2693
391	1733	2689
392	1738	2684
393	1742	2680
394	1746	2675
395	1751	2671
396	1755	2666
397	1760	2662
398	1764	2658
399	1769	2653
400	1774	2649
401	1778	2645
402	1782	2640
403	1787	2636
404	1791	2632
405	1795	2627
406	1799	2622
407	1804	2618
408	1809	2614
409	1813	2610
410	1817	2605
411	1822	2601
412	1827	2596
413	1831	2592
414	1835	2587
415	1840	2583
416	1844	2579
417	1848	2573
418	1853	2569
419	1857	2564
420	1861	2560
421	1865	2555
422	1870	2551
423	1874	2546
424	1879	2542
425	1883	2537
426	1888	2533
427	1892	2529
428	1896	2524
429	1900	2519
430	1905	2515
431	1909	2510
432	1913	2505
433	1918	2501
434	1922	2496
435	1926	2492
436	1931	2487
437	1935	2483
438	1939	2478
439	1943	2473
440	1948	2469
441	1952	2464
442	1956	2459
443	1960	2455
444	1964	2450
445	1968	2445
446	1973	2440
447	1977	2436
448	1981	2431
449	1985	2427
450	1990	2422
451	1994	2417
452	1998	2413
453	2002	2408
454	2007	2404
455	2011	2399
456	2015	2395
457	2020	2391
458	2024	2386
459	2029	2381
460	2033	2377
461	2038	2373
462	2042	2368
463	2046	2364
464	2050	2359
465	2055	2354
466	2059	2350
467	2063	2345
468	2067	2340
469	2072	2336
470	2077	2332
471	2081	2328
472	2085	2323
473	2090	2319
474	2094	2314
475	2098	2310
476	2103	2305
477	2107	2301
478	2111	2296
479	2115	2291
480	2119	2286
481	2123	2282
482	2128	2278
483	2132	2273
484	2136	2268
485	2141	2264
486	2145	2260
487	2149	2255
488	2154	2250
489	2158	2246
490	2162	2241
491	2166	2237
492	2170	2232
493	2175	2227
494	2179	2223
495	2183	2219
496	2188	2214
497	2192	2210
498	2197	2205
499	2201	2201
500	2205	2196
501	2210	2192
502	2214	2188
503	2218	2183
504	2223	2179
505	2227	2174
506	2232	2170
507	2236	2166
508	2240	2161
509	2245	2157
510	2249	2152
511	2254	2148
512	2258	2144
513	2263	2139
514	2267	2135
515	2271	2130
516	2275	2126
517	2280	2121
518	2284	2117
519	2289	2113
520	2293	2108
521	2297	2103
522	2301	2099
523	2305	2094
524	2310	2090
525	2314	2085
526	2318	2080
527	2323	2076
528	2327	2072
529	2331	2067
530	2336	2063
531	2340	2058
532	2344	2053
533	2348	2049
534	2352	2044
535	2357	2040
536	2361	2036
537	2365	2031
538	2369	2026
539	2374	2022
540	2378	2018
541	2383	2013
542	2387	2009
543	2391	2004
544	2395	2000
545	2399	1995
546	2403	1990
547	2407	1985
548	2412	1981
549	2416	1977
550	2421	1973
551	2425	1968
552	2430	1964
553	2435	1960
554	2439	1955
555	2443	1951
556	2447	1946
557	2451	1942
558	2456	1937
559	2460	1933
560	2465	1929
561	2469	1924
562	2474	1920
563	2479	1916
564	2483	1911
565	2487	1907
566	2492	1903
567	2496	1898
568	2500	1894
569	2505	1889
570	2509	1885
571	2514	1881
572	2518	1876
573	2523	1872
574	2527	1868
575	2532	1864
576	2537	1860
577	2542	1855
578	2547	1852
579	2552	1848
580	2557	1844
581	2562	1840
582	2566	1835
583	2570	1831
584	2575	1826
585	2579	1822
586	2584	1818
587	2588	1813
588	2593	1809
589	2597	1804
590	2601	1800
591	2606	1796
592	2610	1791
593	2615	1787
594	2619	1783
595	2623	1778
596	2628	1774
597	2632	1770
598	2637	1765
599	2641	1761
600	2646	1756
601	2650	1752
602	2654	1747
603	2658	1743
604	2663	1738
605	2667	1734
606	2672	1730
607	2676	1725
608	2680	1720
609	2684	1716
610	2689	1712
611	2693	1707
612	2697	1702
613	2701	1698
614	2706	1694
615	2711	1690
616	2715	1685
617	2720	1681
618	2724	1676
619	2728	1672
620	2732	1667
621	2736	1663
622	2741	1658
623	2745	1654
624	2749	1649
625	2753	1645
626	2758	1640
627	2762	1636
628	2766	1631
629	2770	1627
630	2775	1622
631	2779	1618
632	2783	1613
633	2787	1609
634	2791	1604
635	2796	1600
636	2800	1595
637	2804	1591
638	2809	1587
639	2813	1582
640	2817	1578
641	2822	1573
642	2826	1569
643	2830	1564
644	2835	1560
645	2839	1555
646	2843	1551
647	2847	1547
648	2852	1542
649	2856	1538
650	2860	1533
651	2864	1529
652	2869	1524
653	2873	1520
654	2877	1515
655	2881	1511
656	2886	1506
657	2890	1502
658	2895	1498
659	2899	1493
660	2903	1489
661	2908	1484
662	2912	1480
663	2916	1475
664	2920	1471
665	2924	1466
666	2929	1462
667	2933	1457
668	2937	1453
669	2941	1448
670	2945	1444
671	2949	1439
672	2954	1435
673	2958	1430
674	2962	1426
675	2967	1422
676	2971	1417
677	2975	1413
678	2980	1409
679	2984	1404
680	2989	1400
681	2993	1395
682	2998	1391
683	3002	1387
684	3007	1382
685	3011	1378
686	3016	1374
687	3021	1370
688	3025	1365
689	3030	1361
690	3034	1357
691	3039	1352
692	3044	1348
693	3048	1344
694	3053	1339
695	3057	1335
696	3062	1331
697	3066	1326
698	3071	1322
699	3076	1318
700	3080	1313
701	3084	1309
702	3089	1305
703	3094	1300
704	3098	1296
705	3102	1292
706	3107	1287
707	3112	1283
708	3116	1279
709	3120	1274
710	3125	1270
711	3129	1265
712	3134	1261
713	3138	1257
714	3143	1252
715	3147	1248
716	3151	1244
717	3156	1239
718	3161	1235
719	3165	1231
720	3169	1226
721	3174	1222
722	3179	1217
723	3183	1213
724	3187	1209
725	3192	1204
726	3196	1200
727	3201	1196
728	3205	1191
729	3209	1187
730	3214	1182
731	3218	1178
732	3223	1174
733	3227	1169
734	3232	1165
735	3236	1160
736	3240	1156
737	3244	1151
738	3248	1147
739	3253	1142
740	3257	1138
741	3261	1134
742	3265	1129
743	3269	1125
744	3274	1120
745	3278	1116
746	3282	1111
747	3286	1107
748	3290	1102
749	3295	1098
750	3299	1093
751	3303	1089
752	3307	1085
753	3312	1080
754	3316	1076
755	3320	1071
756	3324	1067
757	3329	1062
758	3333	1058
759	3337	1053
760	3341	1049
761	3345	1044
762	3350	1040
763	3354	1036
764	3359	1031
765	3363	1027
766	3367	1023
767	3371	1018
768	3375	1014
769	3380	1009
770	3384	1005
771	3388	1000
772	3392	996
773	3397	991
774	3401	987
775	3405	983
776	3409	978
777	3414	974
778	3418	969
779	3423	965
780	3427	961
781	3432	956
782	3436	952
783	3440	947
784	3444	943
785	3449	939
786	3454	934
787	3458	930
788	3462	925
789	3466	921
790	3471	917
791	3475	912
792	3479	908
793	3483	903
794	3487	899
795	3492	894
796	3496	890
797	3500	886
798	3504	881
799	3509	877
800	3513	872
801	3517	868
802	3521	863
803	3525	859
804	3530	855
805	3536	851
806	3540	846
807	3545	842
808	3549	837
809	3553	833
810	3557	829
811	3561	824
812	3566	820
813	3570	815
814	3574	811
815	3578	807
816	3583	802
817	3587	798
818	3591	793
819	3595	789
820	3599	784
821	3604	780
822	3608	776
823	3612	771
824	3617	767
825	3621	762
826	3625	758
827	3629	754
828	3633	749
829	3638	745
830	3642	740
831	3647	736
832	3651	732
833	3656	727
834	3660	723
835	3665	719
836	3669	714
837	3673	710
838	3678	705
839	3682	701
840	3686	697
841	3691	692
842	3695	688
843	3699	683
844	3703	679
845	3708	674
846	3712	670
847	3716	666
848	3721	661
849	3725	657
850	3729	653
851	3733	648
852	3738	644
853	3742	639
854	3746	635
855	3750	630
856	3755	626
857	3759	622
858	3763	617
859	3768	613
860	3772	609
861	3776	604
862	3781	600
863	3785	595
864	3789	591
865	3793	586
866	3797	582
867	3801	578
868	3806	573
869	3810	569
870	3814	564
871	3819	560
872	3823	556
873	3827	551
874	3832	547
875	3836	543
876	3840	538
877	3845	534
878	3849	529
879	3853	525
880	3857	521
881	3861	516
882	3866	512
883	3870	507
884	3874	503
885	3878	499
886	3882	494
887	3886	490
888	3890	485
889	3895	481
890	3900	477
891	3904	472
892	3908	468
893	3913	463
894	3917	459
895	3921	455
896	3926	450
897	3931	446
898	3935	442
899	3939	437
900	3943	433
901	3948	428
902	3952	424
903	3956	420
904	3961	415
905	3966	411
906	3970	407
907	3975	402
908	3979	398
909	3983	394
910	3988	389
911	3992	385
912	3997	380
913	4001	376
914	4005	372
915	4009	367
916	4013	363
917	4018	358
918	4022	354
919	4026	350
920	4031	345
921	4035	341
922	4040	337
923	4044	332
924	4048	328
925	4053	323
926	4057	319
927	4061	315
928	4065	310
929	4070	306
930	4074	301
931	4078	297
932	4082	293
933	4087	288
934	4091	284
935	4095	280
936	4099	275
937	4103	271
938	4107	266
939	4111	262
940	4116	258
941	4120	253
942	4124	249
943	4129	244
944	4133	240
945	4137	236
946	4142	231
947	4146	227
948	4150	223
949	4155	218
950	4159	214
951	4163	209
952	4167	205
953	4172	201
954	4176	196
955	4180	192
956	4184	188
957	4188	183
958	4192	179
959	4196	174
960	4201	170
961	4205	166
962	4209	161
963	4213	157
964	4218	152
965	4222	148
966	4226	144
967	4230	139
968	4234	135
969	4239	131
970	4243	126
971	4247	122
972	4252	117
973	4256	113
974	4260	109
975	4264	104
976	4269	100
977	4273	96
978	4277	91
979	4281	87
980	4286	83
981	4290	78
